control_id,type,topic,clause,statement,doc_title,page,doc_id
QCB-Personal-Data-Privacy-P12-I5,SHALL,General,,"Article (17) Taking into consideration the liabilities provided for hereto, an owner or operator of any website addressing children shall take into account the following:",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,12,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P13-I9,SHALL,Data Protection,,"A child’s participation in a game, promotional award or any other activity shall not be conditional on the child’s provision of Personal Data in excess of the necessary for the participation in such activity.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,13,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P13-I10,MAY,Data Protection,,"Chapter Five Exemptions Article (18) The Competent Authority may decide to process some Personal Data, without abiding by the provisions of Articles (4), (9), (15) and (17) hereof, for achieving any of the following purposes:",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,13,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P14-I8,SHALL,General,,The Competent Authority shall keep a special record where the data achieving the aforementioned purposes shall be entered.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,14,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P14-I9,SHALL,General,,"Conditions, controls and statuses of entry on such record shall be specified by virtue of a decision issued by the Minister.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,14,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P14-I10,SHALL,General,,"Article (19) The Controller shall be exempted from the provisions of Articles (4), (5\ Items 1, 2, and 3) and (6) hereof, in any of the following cases: 1.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,14,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P14-I20,SHALL,General,,"Article (20) The Controller shall be exempted from disclosing the reasons for the refusal thereof of abiding by the rights of the Individual, as provided for in Article (6) hereof, if such disclosure would prevent achieving",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,14,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P15-I1,SHALL,General,,"Article (21) Taking into consideration the provisions of the preceding two Article, the Controller shall be exempted from abiding by provisions of Article (6) hereof, in either of the following two cases: 1.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,15,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P15-I4,MAY,Data Protection,,"When implementation of such liability would cause disclosing Personal Data related to another Individual who does not consent thereto, and disclosure may lead to physical or moral damage either to this Individual or to any other Individual.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,15,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P15-I5,SHALL,General,,"Chapter Six Electronic Communication for the Purpose of Direct Marketing Article (22) The transmission of any Electronic Communication to an Individual, for the purpose of Direct Marketing, shall be forbidden, except after obtaining the prior consent thereof.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,15,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
