policy_name,control_id,control_statement,implementation_task,owner,status,evidence_link,source_doc_title,source_page,source_controls_file
Data handling and privacy policy,QCB-Data-Handling-P8-I0,"Data Handling and Protection Regulation 8 6.5.1 A Financial Institution must review data maps annually, to ensure current and accurate representation of data flows, or conduct reviews that are triggered by c hanges to the Financial Institution.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I1,"These changes may include but are not limited to: organizational restructure, new regulatory requirements, changes to the data processing environment, etc.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I2,2 A Financial Institution must complete Data Mapping exercises for their environments.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I3,3 A Financial Institution must document and justify any data or processes excluded from the data map and detail the associated risks.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I5,"Data Handling 7.1 A Financial Institution must identify data that is Personally Identifiable Information (PII), Sensitive Personal Information (SPI), Sensitive Financial Information (SFI) and Technical Information, as defined in this regulation.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I6,"7.2 A Financial Institution must classify data that is PII and Technical Data, as per the Financial Institution’s data classification framework.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I7,"7.3 A Financial Institution must classify and manage SPI and SFI as per the highest, most strict classification available.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I8,"7.4 A Financial Institution must process PII, SPI and SFI only when one of the following conditions (at least) is met: 7.4.1 The Financial Institution has received explicit consent from the Data Subject.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I11,"7.5 A Financial Institution must put in place a process to remediate previously collected PII, SPI and SFI that does not adhere to requirement 7.4.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I12,"7.6 A Financial Institution must ensure its primary environment, the main data storage and processing environment, for PII, SPI and SFI resides within the State of Qatar.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I13,"7.7 A Financial Institution may utilize a primary storage and processing environment for PII, SPI and SFI outside the State of Qatar only after receiving explicit approval from QCB.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I14,"7.8 A Financial Institution must adhere to Bank Secrecy requirements, especially when processing SFI as per QCB Law and any other relevant laws and regulations.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P8-I15,"7.9 A Financial Institution must limit its data collection activities to data it requires to provide services to the customer, or to adhere to legal and regulatory requirements.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
